year,month_num,final_region,total_sales,total_items,prev_year_sales,sales_growth
2022,4,Campeche,78824.89,54,15671.65,402.9776060593492
2022,4,Chiapas,144257.92,112,57107.590000000004,152.6072628874726
2022,4,Chihuahua,228498.48,177,206557.09,10.622433730064659
2022,4,Ciudad de México,1852699.53,1440,1025621.73,80.6416026306307
2022,4,Coahuila,231508.74,179,202383.59999999998,14.391057378167012
2022,4,Colima,93416.25,73,30820.100000000002,203.10170959860608
2022,4,Durango,114880.87999999999,84,45950.95,150.00762769866566
2022,4,Guanajuato,289056.98,210,138718.79,108.37622646506647
2022,4,Guerrero,152983.08000000002,119,36282.49,321.64437997502387
2022,4,Hidalgo,111153.27,84,76583.53,45.13991454820639
2022,4,Jalisco,1098978.85,864,563489.97,95.0307740171489
2022,4,Michoacán,368809.27,267,139858.67,163.70139941985718
2022,4,Morelos,125092.06999999999,101,38658.1,223.58566509994026
2022,4,México,1119639.44,866,575685.24,94.48812687989012
2022,4,Nayarit,120472.92000000001,86,39913.81,201.83267395420285
2022,4,Nuevo León,1231601.0,977,749406.0,64.3436268191074
2022,4,Oaxaca,114492.36,87,59844.549999999996,91.31626856580927
2022,4,Puebla,339719.52,267,177913.25999999998,90.9467118976967
2022,4,Querétaro,312301.94,245,173877.22,79.61061259203477
2022,4,Quintana Roo,188277.35,157,62272.72,202.3432250911796
2022,4,San Luis Potosí,194665.09999999998,157,105445.34,84.61233090054048
2022,4,Sinaloa,461765.5,379,200160.61,130.69748838195488
2022,4,Sonora,196558.72999999998,155,124797.33,57.50235201346052
2022,4,Tabasco,121520.69,107,61433.119999999995,97.80973194915057
2022,4,Tamaulipas,294975.47,231,168476.68,75.08385730298103
2022,4,Tlaxcala,28277.789999999997,22,15121.82,86.99991138632782
2022,4,Veracruz,536624.96,425,171352.63,213.16995834846537
2022,4,Yucatán,171487.71,149,96591.53,77.53907614880931
2022,4,Zacatecas,41716.450000000004,34,29942.14,39.32354200467971
2022,5,Aguascalientes,149147.03,103,113948.97,30.88931826237657
2022,5,Baja California,316320.24,244,250436.25999999998,26.30768403904451
2022,5,Baja California Sur,115285.92,94,84710.93,36.09332349438261
2022,5,Campeche,77454.6,56,45419.93,70.5299854050854
2022,5,Chiapas,232058.99,178,142250.50999999998,63.13403024003219
2022,5,Chihuahua,346269.69,265,364253.64999999997,-4.937207904436912
2022,5,Ciudad de México,3367925.98,2465,1912586.71,76.09272104583431
2022,5,Coahuila,379129.37,287,283404.35,33.77683511209339
2022,5,Colima,139579.37,97,59227.4,135.66688728527674
2022,5,Durango,157311.44999999998,115,86935.14,80.95266195004687
2022,5,Guanajuato,467124.9,343,256306.11,82.2527367763492
2022,5,Guerrero,122430.95,101,77837.16,57.2911318963847
2022,5,Hidalgo,211884.7,156,134737.06,57.25792146570514
2022,5,Jalisco,1687937.92,1280,1014426.6499999999,66.3932941824823
2022,5,Michoacán,506160.2,355,299408.32,69.05348522045078
2022,5,Morelos,154972.69,119,102359.72,51.4000722159068
2022,5,México,1878469.97,1370,1042007.61,80.27411239347857
2022,5,Nayarit,129249.18,100,89717.44,44.06249219772654
2022,5,Nuevo León,1637661.18,1266,1301074.27,25.869922859976313
2022,5,Oaxaca,159522.15,121,88602.96,80.04155843100499
2022,5,Puebla,521361.06000000006,400,259519.79,100.89452908388992
2022,5,Querétaro,447288.07,343,304347.02,46.96646939404893
2022,5,Quintana Roo,262017.34,205,100277.29000000001,161.29280119157585
2022,5,San Luis Potosí,292576.96,211,165548.22999999998,76.7321583565104
2022,5,Sinaloa,622332.04,483,357674.76,73.99383730627233
2022,5,Sonora,336126.77999999997,251,214133.93000000002,56.97035028498283
2022,5,Tabasco,210673.57,159,83227.61,153.1294242379422
2022,5,Tamaulipas,327922.58,241,274257.98000000004,19.567197278999856
2022,5,Tlaxcala,52463.31,39,22619.809999999998,131.93523729863338
2022,5,Veracruz,711481.14,540,372306.67,91.10083093595934
2022,5,Yucatán,274519.57,217,134590.66,103.96628562487173
2022,5,Zacatecas,56497.71000000001,41,43260.26,30.59956181493131
2022,6,Aguascalientes,58497.46,42,38612.76,51.497743233065954
2022,6,Baja California,138364.63999999998,102,118291.86,16.96885990295527
2022,6,Baja California Sur,32027.15,27,27271.34,17.43885705652895
2022,6,Campeche,22221.87,17,16488.22,34.77422062539193
2022,6,Chiapas,70772.34,53,70848.40000000001,-0.1073559882792162
